PassengerId,Survived
1,0
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,0
44,1
45,0
46,1
47,0
48,1
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,0
57,1
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,1
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,1
81,0
82,0
83,0
84,1
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,1
93,1
94,0
95,0
96,1
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,1
111,1
112,0
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,1
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,0
130,1
131,1
132,1
133,0
134,0
135,0
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,1
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,0
153,0
154,0
155,1
156,0
157,1
158,1
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,0
186,1
187,1
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,1
203,1
204,0
205,1
206,1
207,1
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,0
231,1
232,1
233,0
234,1
235,0
236,1
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,0
258,0
259,1
260,0
261,0
262,1
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,1
274,0
275,0
276,0
277,1
278,1
279,0
280,1
281,1
282,0
283,0
284,0
285,0
286,1
287,1
288,1
289,1
290,0
291,0
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,0
300,1
301,0
302,1
303,1
304,0
305,1
306,1
307,1
308,0
309,0
310,0
311,1
312,1
313,0
314,0
315,0
316,1
317,0
318,1
319,0
320,0
321,0
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,1
343,0
344,1
345,0
346,0
347,0
348,0
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,1
357,1
358,0
359,1
360,0
361,1
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,1
370,0
371,0
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,1
381,1
382,1
383,0
384,1
385,0
386,0
387,0
388,0
389,1
390,1
391,1
392,0
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,1
404,1
405,1
406,1
407,1
408,0
409,0
410,0
411,1
412,1
413,0
414,0
415,1
416,0
417,0
418,1
